5716, 16350949
3993, 7950896
7919, 31522446
9059, 41084966
5406, 14718673
6639, 21871930
5423, 14670668
5010, 12229047
2375, 2829326
5458, 14812427
3464, 6032375
3094, 4769829
4839, 11748522
3701, 6954934
2328, 2692183
1306, 836649
9816, 48263951
6006, 18143393
2792, 3780551
4026, 8118587
1895, 1747662
5648, 15862799
9331, 43431826
1591, 1274946
6538, 21544177
1621, 1281580
5409, 14600474
8587, 36592608
6137, 18771754
7611, 29238268
4248, 8902159
2507, 3104306
3764, 7052261
9993, 50388918
9035, 41107586
4332, 9477513
3178, 5149787
3182, 4967529
7926, 31653903
9671, 46870882
9367, 44188056
3972, 7920155
7134, 25438655
7654, 29607229
7287, 26593126
8302, 34797551
8323, 34598406
2341, 2798530
2145, 2311246
8393, 35348060
1029, 525010
5800, 17191667
1456, 1088709
2500, 3085837
3243, 5327916
9469, 44965530
1897, 1841462
9577, 45435762
5194, 13318109
8098, 32479157
4005, 7972400
4422, 9618083
8412, 35581213
9142, 41918875
9120, 41684433
8795, 39031516
8044, 32385979
7442, 27641515
2843, 4142230
7958, 31231681
2883, 4189220
4331, 9410906
1351, 909478
9240, 42590845
4139, 8624234
3853, 7504716
7831, 30598806
9998, 50007485
3066, 4679199
6208, 19310427
9767, 47528362
2223, 2482938
5541, 15330190
2216, 2446241
7852, 30885345
6098, 18590375
7353, 27533668
5182, 13533991
9534, 45558017
7092, 25053771
6350, 19793269
5846, 17248811
7024, 24764919
7129, 25495176
6068, 18510885
1703, 1449436
5586, 15642449
8699, 37988500
4528, 10172749
2453, 2979510
9817, 48760782
8734, 38180147
1773, 1590328
7449, 27686422
5815, 16844426
1677, 1377226
7399, 27570964
9637, 46266992
5135, 13425130
9363, 43737182
5030, 12598107
7630, 29259769
9694, 46515263
6520, 21133771
1346, 902085
9562, 45374487
6532, 21229729
4344, 9480435
6919, 23945018
7719, 29956794
6888, 23638169
5085, 13148570
7815, 30554288
4917, 12198474
2402, 2893845
7291, 26630558
5135, 12997450
6056, 18442225
2474, 3136411
2814, 3954193
6087, 18572654
2133, 2309348
9326, 43655621
4143, 8693460
4724, 11092219
7095, 25057236
2596, 3366051
9068, 41472945
9032, 40566851
6890, 23643405
9899, 48979024
2332, 2647613
6536, 21246347
7058, 24974719
8735, 38347008
8359, 35044986
4524, 10339107
9268, 42949061
2892, 4220949
5568, 15559005
3617, 6456510
9119, 41492370
2973, 4402672
6456, 20800579
8738, 38189615
9599, 46620186
7782, 30354705
8440, 36040555
6587, 21656384
7353, 27157582
1110, 624395
4834, 11551273
8021, 32565458
8271, 34054274
3349, 5490108
7886, 31141883
2267, 2535736
9895, 49155628
7010, 24483881
5318, 14181093
1103, 608708
5148, 13209153
1765, 1550764
2193, 2435632
1399, 995004
2474, 3060745
6278, 19427755
9701, 46961312
6560, 21208907
3935, 7765322
8768, 38440057
6037, 18322044
8080, 32843127
3904, 7430677
6953, 24025508
2149, 2336914
5988, 17972023
6215, 19392796
1237, 763302
3725, 7091564
6457, 20975318
1894, 1801563
1986, 1976311
1378, 942333
7645, 29238274
7142, 25613369
2063, 2159996
6211, 19088706
8149, 33080836
7431, 27517700
1247, 761450
5695, 16343404
2407, 2905696
3928, 7666973
3228, 5188691
6309, 19868018
6885, 23348314
4281, 9197620
8064, 32308009
2820, 3971101
7608, 29578267
1478, 1087891
6845, 23371456
9172, 42256557
2834, 4031445
9094, 41565021
8676, 37724595
3954, 7848925
6156, 18915957
5003, 12274816
8954, 40343801
9138, 41929139
9769, 47465344
8322, 34804971
8881, 39792102
1874, 1701341
6926, 24016997
9227, 42298562
9754, 47693059
2285, 2690270
8249, 34034808
5068, 12736063
3209, 5157180
5373, 14453852
3491, 6043616
9580, 46335745
8195, 34105420
3474, 6109505
2460, 3062903
7633, 29021954
7142, 25514959
7226, 26007477
1537, 1182114
1209, 742084
1966, 1898639
6315, 19664908
9704, 46954663
2134, 2291589
8043, 32222588
8079, 32411618
3619, 6481072
6871, 23456464
3830, 7388103
2294, 2667675
9257, 42346390
5167, 13480088
2972, 4425309
7361, 26903026
3387, 5811220
3440, 5912459
4438, 9731971
9533, 45424790
5574, 15556543
2825, 4019554
8323, 34571720
4129, 8512394
5163, 13401556
7107, 25526928
8797, 38834046
7936, 31173087
5407, 14606594
9681, 47488222
8077, 32643202
8327, 34506208
3107, 4728466
1188, 734431
3266, 5403907
8755, 38538300
2109, 2229110
7891, 31034398
7253, 26183300
9327, 44290982
6311, 19770460
8502, 35947705
1869, 1739954
7472, 28219983
2614, 3383743
8757, 38616324
8023, 32522516
8715, 37984384
7157, 25647164
6863, 23496116
7168, 25628447
7412, 27862001
1371, 929620
1156, 681907
4191, 8792354
4806, 11543107
6108, 18484717
3050, 4612969
4303, 9376262
1237, 775926
2348, 2741565
9486, 44989531
6581, 21806818
6726, 22493145
9329, 43726490
7623, 28957916
5176, 13413019
2200, 2413219
1085, 602526
1840, 1710881
6492, 21106809
1964, 1951137
7145, 25388580
8197, 33533106
1369, 961276
4153, 8440958
3197, 5054762
8964, 40169441
7097, 24854448
2107, 2234792
8109, 32652166
8651, 37670472
